Swedish,English
owens,Owens
grissom,pig like
mässan,the fair
mjöl,flour
felaktig,inaccurate
enterprises,enterprises
destination,destination
lägligt,timely
tecknen,the signs
milano,Milan
ansiktsuttryck,facial expression
auktion,auction
medaljer,medals
förtvivlad,desperate
sysslor,chores
kommunikationen,the communication
äpplet,the apple
kapital,capital
sättas,be set
pappsen,the cardboard
flykten,the escape
glöd,glow
blött,wet
puerto,puerto
intima,intimate
lördags,Saturday
märkena,the brands
dorian,Dorian
i.,in.
inge,inge
vetenskaplig,scientific
uppnått,achieved
räven,the fox
skör,fragile
kupp,coup
rush,rush
bethany,bethany
genomgå,undergo
klarhet,clarity
slade,sled
sg-1,sg-1
höjder,heights
forrest,first
grunder,grounds
hypotetiskt,hypothetically
skyllde,blamed
sonia,Sonia
stövlarna,the boots
luca,Luca
gardiner,curtains
samlare,collector
jarvis,annually
mutade,bribed
johansson,Johansson
framträdande,prominent
chansning,gamble
irländsk,Irish
sötaste,sweetest
infekterat,infected
surfa,surf
amir,amir
infiltrera,infiltrate
bringa,bring
rabbit,rabbit
pest,pest
delfiner,dolphins
maskerad,masquerade
uttryckt,expressed
horisonten,the horizon
ryckte,twitched
luna,luna
portar,gates
surt,sour
leroy,leroy
stärka,strengthen
fyrverkerier,fireworks
larsson,larsson
prövat,tried
gigantisk,giant
peru,Peru
driv,driving
bränslet,the fuel
utomjordisk,extraterrestrial
filmat,filmed
donera,donate
tiny,tiny
protein,protein
franky,franky
runkar,jerking off
syndrom,syndrome
con,con
cara,Cara
inåt,inwards
gränd,alley
osäkert,uncertain
kitt,putty
diamanten,the diamond
njurar,kidneys
mänsklighet,humanity
bion,cinema
klassrummet,the classroom
frigöra,release
maskerade,masked
vermont,Vermont
noterat,noted
osten,the cheese
kristallen,the crystal
balett,ballet
raseri,rage
armbandet,the bracelet
mysterier,mysteries
hemåt,homeward
äro,are
galne,crazy
kommunister,communists
nice,nice
berömmelse,fame
valv,vault
turist,tourist
tito,tito
massachusetts,Massachusetts
säljas,sold
bankerna,the banks
tjockt,thick
kinamat,Chinese food
uppdatering,update
listade,listed
kafé,café
rosemary,rosemary
överraskningen,the surprise
besparingar,savings
bortse,disregard
rytm,rhythm
själviskt,selfishly
buddha,Buddha
höna,chicken
durant,during
installera,install
försörjer,provides
sökare,view-finder
selina,Selina
sdi,sd
pålitliga,reliable
vändning,turn
gummi,rubber
mötena,the meetings
bakat,baked
aspirin,aspirin
tiders,of times
spridit,scattered
stum,mute
bunny,bunny
uppsatt,set up
blodigt,bloody
släckt,turned off
träda,fallow
gryning,dawn
susen,the trick
vävnad,tissue
sprutor,syringes
klagat,complained
krånglar,hassles
avled,passed away
pudding,pudding
massiv,massive
oväntad,unexpected
däribland,including
vägde,weighed
stadium,stage
brotten,the crimes
hap,hap
lastar,loads
image,image
ve,alas
köparen,the buyer
knut,knot
kräks,vomit
sponsor,sponsor
dokumentet,the document
efterforskningar,investigations
ögonbryn,eyebrow
this,this
beräkningar,calculations
begåvade,gifted
yoghurt,yoghurt
javier,Javier
freya,freya
upproret,the rebellion
fikus,rubber plant
reaktorn,the reactor
darrar,trembles
alexis,Alexis
fjärrkontrollen,remote control
koncentration,concentration
belgien,Belgium
missbruk,abuse
attackerna,the attacks
allmänhet,general
vampyrerna,the vampires
fransman,Frenchman
uti,out
britt,British
container,container
visum,visa
djävlar,devils
steph,step
privilegium,privilege
bangkok,Bangkok
dora,dora
pricken,the dot
frön,seeds
cowboys,cowboys
undersökningar,investigations
jonny,johnny
föreställt,imagined
skingra,dispel
oväder,storm
fegisar,cowards
broar,bridges
trampade,trampled
kirsten,the kirsten
filten,the blanket
förfalskade,counterfeited
klappar,claps
attackerades,was attacked
crazy,crazy
ologiskt,illogical
avtalat,agreed upon
meningar,sentences
hr,Mr
praktik,practice
genier,geniuses
verkställ,enforce
beskrivningen,the description
coleman,Coleman
bortskämd,spoiled
tåla,endure
månadens,of the month
leendet,the smile
oense,disagree
utrym,space
pennor,pens
fördomar,prejudices
lyste,shone
danvers,danvers
ecstasy,ecstasy
furir,sergeant
predikan,sermon
slutliga,final
konversationen,the conversation
illinois,Illinois
avfyrar,fires
överlämnade,handed over
utvärdering,evaluation
rikedomar,riches
ingrepp,intervention
sydde,sewed
forskarna,the researchers
välkomnande,welcoming
mums,yum
olyckligtvis,unfortunately
fotbollen,the football
three,three
brottsligt,criminal
löss,lice
initialer,initials
simms,swimming
reportern,the reporter
chambers,chambers
människas,human's
bunt,bundle
marinsoldater,Marines
ljusare,brighter
överenskommet,agreed upon
mäktigare,more powerful
undertecknat,signed
förstar,firsts
upprörande,outrageous
callahan,callahan
containern,the container
norris,Norris
bartowski,bartowski
utantill,by heart
raderar,deletes
kapade,hijacked
k.,k.
primitiva,primitive
pung,pouch
jätteglad,chuffed
fiske,fishing
rått,raw
mallory,mallory
upper,up
jeannie,jeannie
vafan,wow
kollapsar,collapses
syndabock,scapegoat
hånar,taunts
framgångar,successes
trädgårdsmästare,gardener
inbjudna,invited
tejp,tape
abs,abs
parlamentet,the parliament
förkylning,cold
seven,seven
hissa,hoist
klädsel,dress
slampan,the slut
försvarsdepartementet,Ministry of Defence
fångas,caught
måltavlan,the target
toronto,toronto
utlöste,triggered
serier,series
kontrolleras,is checked
rodriguez,rodriguez
shepard,shepard
sägas,be said
turnén,the tour
uppfyllelse,fulfillment
evigheten,eternity
hatat,hated
ädelt,noble
krockade,crashed
nico,Nico
lucius,Lucius
avger,emits
sweet,sweet
un,un
förtroendet,the trust
förakt,contempt
messias,messiah
willis,willis
vittnena,the witnesses
böna,bean
intar,ingests
stop,stop
smälla,pop
babblar,babbling
kristin,Christian
federationen,the federation
jose,jose
brant,steep
ändrades,was changed
lyckat,successful
kärringen,the old lady
ämnad,intended
farm,farm
frukten,the fruit
prostitution,prostitution
inofficiellt,unofficially
flygning,flight
reg,reg
kapacitet,capacity
moralen,the morality
bevisning,evidence
checkade,checked
knivhögg,stabbing
verktygen,the tools
läsare,Reader
analyserar,analyzing
subtitles,subtitles
döva,deaf
sändes,was sent
dömde,condemned
deppig,depressed
klämmer,clamps
bordell,brothel
dimension,dimension
veterinären,the veterinarian
dot,dot
längden,the length
ada,ada
horace,horace
slaveri,Slavery
utöka,expand
tajt,tight
skjortor,shirts
grått,grey
prag,prague
chapo,chapo
grundare,founder
kossa,cow
greendale,greendale
motsatt,opposite
brödraskapet,the brotherhood
mcdonald,mcdonald
pulver,powder
genetisk,genetic
myka,soft
sluppit,escaped
invadera,invade
ling,ling
hängivenhet,devotion
umgåtts,socialized
jed,yes
intensiven,the intensive
ställningarna,the positions
vettig,sensible
place,place
följeslagare,companion
grekisk,Greek
köpcentret,the mall
irving,irving
skryter,boasting
markera,highlight
dansat,danced
kompass,compass
orättvis,unfair
ammunitionen,the ammunition
besöksförbud,restraining order
övergivet,abandoned
kristina,Christina
klantar,customers
chow,chow
hammaren,the hammer
mozart,mozart
utkanten,the edge
otålig,impatient
mössan,the cap
förmyndare,Guardian
skippar,skipper
fiket,the coffee
skymningen,the twilight
påstås,alleged
lsd,lsd
way,way
vistelse,stay
höften,the hip
kärna,core
hamlet,the hamlet
korna,the cows
vidta,take
gås,goose
svälj,swallow
däråt,there
jeremiah,Jeremiah
lukas,Luke
ambition,ambition
behå,bra
lagarna,the laws
skildes,got divorced
columbus,columbus
not,note
tagga,tag
regera,reign
frodas,thrive
vladimir,Vladimir
sticket,the stitch
praktisk,practical
identiteter,identities
sayid,sayid
reportrar,reporters
tillställning,event
got,good
arrangemang,arrangement
prototyp,prototype
panama,Panama
eureka,eureka
skaparen,the creator
generationen,the generation
company,company
jäklas,damn
hola,cave
joint,joint
kaféet,the cafe
kvittot,the receipt
casper,Casper
plågas,tormented
apotek,pharmacy
utse,out
maddie,maddie
weiss,weiss
slöt,closed
vinster,profits
eldgivning,firing
darnell,darnell
app,app
farmors,grandmother's
separerade,separated
brallorna,the bralls
behållaren,the container
fördelen,the advantage
mäktigt,mighty
vitaminer,vitamins
trillar,rolling
ryttaren,the rider
perversa,perverts
satelliter,satellites
otrogna,infidels
strula,strula
uppfriskande,refreshing
institution,institution
misstanke,suspicion
kurser,courses
synden,the sin
hårddisk,hard disk
dumhet,stupidity
utsätts,exposed
rånare,robber
ek,oak
fjäder,spring
mördarens,the killer's
marseille,marseille
hyllning,tribute
låtarna,the songs
kunskapen,the knowledge
handtaget,the handle
expeditionen,the expedition
riktningen,the direction
rundtur,tour
plötsliga,sudden
grillen,the grill
kvarlevorna,the remains
sinnessjuk,insane
parasit,parasite
vilde,savage
paco,Paco
ninja,ninja
ahmed,Ahmed
lösningar,solutions
melodi,melody
johnnie,johnny
elefanten,the elephant
registrerade,registered
grytan,the pot
samlingen,the collection
nils,Nils
duka,tablecloth
vagnar,carts
handfull,handful
skitiga,dirty
envisa,stubborn
kardinal,Cardinal
gynnar,benefits
förkläde,apron
brännas,burn
jättefina,great
korg,basket
praktikant,trainee
nar,fool
sväva,float
afrikanska,African
enklaste,simplest
tajta,tight
kalkonen,the turkey
spolar,coils
förhastade,rushed
argumentera,argue
cook,cook
förolämpad,offended
handledare,supervisor
fejka,fake
bambi,Bambi
hazel,hazel
traditionella,traditional
skräckslagen,terrified
släppts,released
arresterar,arrests
puh,phew
swan,swan
profilen,the profile
moira,Moira
dialekt,dialect
paranoia,paranoia
ibm,ibm
brandy,brandy
main,main
bellamy,bellamy
undervisade,taught
utnyttjat,exploited
lock,lid
försiktighet,caution
rupert,Rupert
regionen,the region
avbrott,interruption
johanna,Johanna
kurragömma,hide and seek
salvatore,Salvatore
motgiftet,the antidote
league,league
tröttna,tire
hã,ha
crowley,crowley
gabby,gabby
rensade,cleared
frances,Frances
meningslös,Meaningless
turkiet,Turkey
look,look
uttryckte,expressed
tomte,Santa
kraftiga,powerful
beslag,fittings
besitter,possess
cocktail,cocktail
andliga,spiritual
nebraska,nebraska
riker,realms
compton,compton
otaliga,countless
gruva,mine
gunga,swing
sofistikerad,sophisticated
frusna,frozen
bowl,bowl
avboka,cancel
kritisera,criticize
bromsar,brakes
kabel,cable
pauline,Pauline
stöttade,supported
ritualen,the ritual
franskt,french
styvmor,stepmother
efterlysning,search warrant
tjänsteman,official
bubbla,bubble
utlösa,trigger
gnista,spark
skapad,created
fjärilar,butterflies
kallats,called
säkerhetschef,security manager
temperament,temperament
stressigt,stressful
artilleri,artillery
revir,territory
butiker,stores
ba,ba
synts,seen
lögnerna,the lies
wendell,Wendell
strypt,strangled
deborah,Deborah
geoff,Geoff
doctor,doctor
talesätt,proverb
komplex,complex
skålen,the bowl
trorjag,i think
fäste,attachment
uther,uther
långsökt,far fetched
valpar,puppies
lt,Lt
spelning,gig
maskinrummet,the engine room
piren,the pier
klein,small
catalina,Catalina
hormoner,hormones
iakttar,observes
förlåten,forgiven
kenya,Kenya
strange,strange
galax,galaxy
blöja,diaper
uppstå,arise
mån,Mon
aktivt,actively
dalziel,dalziel
förstärkningar,reinforcements
stall,stable
orädd,fearless
seymour,seymour
känslomässiga,emotional
bönderna,the farmers
avslöjande,disclosure
liggande,lying down
innehåll,content
akter,stern
höjde,raised
cece,cece
bussar,buses
elliott,elliott
raderat,deleted
förutsåg,anticipated
sanningens,of truth
mynten,the coins
blockerade,blocked
napp,pacifier
deltagare,participant
definierar,defines
fredliga,peaceful
vred,angry
mätta,saturate
öarna,the islands
huvudstad,capital
snyggaste,prettiest
skyldighet,obligation
underrätta,notify
bildas,is formed
gabrielle,gabrielle
isolering,insulation
visning,viewing
handfängsel,handcuffs
annonsen,the ad
blood,blood
flygeln,the wing
familjemedlem,family member
ambassad,embassy
shrek,shrek
morötter,carrots
askungen,cinderella
klipsk,shrewd
jupiter,Jupiter
marshal,marshal
klokare,wiser
knuffar,pushing
buchanan,the buchanan
lexi,Lexi
anställt,employed
fylls,is filled
blaine,Blaine
norska,Norwegian
bomull,cotton
eko,eco
stab,staff
skräms,scared
keps,cap
niggern,the nigger
wood,wood
utmanade,challenged
flöt,floated
yankees,yankees
garantier,guarantees
linjerna,the lines
skylar,clouds
iii,iii
buy,buy
lemonad,lemonade
sänds,is broadcast
punktering,puncture
planetens,of the planet
begravningar,funerals
lättar,relieves
sprack,burst
följder,consequences
kodnamn,code name
skridskor,ice skates
förstora,enlarge
arlene,Arlene
utvägen,the way out
doreen,the doreen
alfredo,Alfredo
marta,marta
skuggar,shadows
smugglade,smuggled
frankrikes,France's
legender,legends
högstadiet,high school
pia,pia
vänj,get used to
utövar,exercising
tumme,thumb
pajen,the pie
visuell,visual
uttorkad,dry
djärv,bold
handled,Wrist
ankan,the duck
kyligt,chilly
adele,adele
uppfostrat,raised
småbarn,toddlers
arvet,the legacy
dunn,thin
akademin,the academy
1800-talet,19th century
kind,cheek
terapin,the therapy
avancerat,advanced
kriminalassistent,criminal assistant
bandit,bandit
svängde,swung
chavez,Chavez
förnekade,denied
country,country
håriga,hairy
ryss,Russian
natasha,Natasha
marocko,Morocco
ryssen,the russian
sovande,sleeping
återhämtar,recovers
warp,warp
uppsättning,set
landskapet,the landscape
mantel,jacket
oundvikliga,inevitable
colleen,colleen
astma,asthma
harmon,harmony
hertiginnan,the duchess
whiskyn,the whiskey
polisarbete,police work
känslomässig,emotional
vindar,winds
vraket,the wreck
grymhet,cruelty
spaghetti,spaghetti
kabeln,the cable
omaha,Omaha
enskilt,individually
separera,separate
vibbar,vibes
spansk,Spanish
magkänsla,gut feeling
listig,cunning
planering,planning
färgerna,the colors
olik,different
behaga,please
tillåts,allowed
utredningar,investigations
föreståndaren,the superintendent
provocera,provoke
statistik,statistics
tillägget,the addition
attityden,the attitude
stokes,Stokes
vicesheriff,deputy sheriff
harlan,harlan
ströp,strangle
skörda,harvest
omväg,Detour
cheferna,the managers
utnyttjad,exploited
töntar,jerks
dike,trench
lägsta,lowest
pratstund,chat
eldar,fires
strauss,ostrich
nyktra,sober
scout,Scout
rhonda,Rhonda
dyk,dive
hetsa,incite
förverkliga,realize
örn,eagle
rocka,rock
hamburg,hamburg
oakland,oakland
internationellt,internationally
antarktis,Antarctica
förbrytare,offender
jobben,the job
first,first
royce,royce
överväldigad,overwhelmed
dömas,be judged
federalt,federally
domedagen,doomsday
misshandlad,abused
smugglar,smuggles
r.,r.
arbetande,working
slug,leery
dyrare,more expensive
thorne,thorn
båset,the booth
tråkar,bored
lucien,Lucia
nasse,piggy
graviditeten,the pregnancy
viken,the bay
kackerlackor,cockroaches
barmhärtig,merciful
sexualitet,sexuality
pysen,the kid
ytlig,superficial
grinig,grumpy
holden,the teams
spridas,spread
opålitlig,unreliable
snål,stingy
sadeln,the saddle
såsen,the sauce
dublin,dublin
anat,guessed
blade,leaves
sits,SEAT
fruntimmer,woman
nämns,is mentioned
dobbs,Dobbs
symboliserar,symbolizes
gudarnas,of the gods
indisk,Indian
förlita,trust
värdshuset,the inn
befängt,occupied
jätten,the giant
robotarna,the robots
magistern,the master
skanna,scan
hop,hop
brandmän,firefighters
undkomma,escape
tuggar,chews
strular,struts
huvudkontoret,head office
kvarsittning,retention
omfamna,embrace
myntet,the coin
malone,malone
överstelöjtnant,lieutenant colonel
livvakter,bodyguards
omväxling,alternation
nã,nã
avstängda,switched off
dracula,dracula
leif,leif
konstigare,weirder
läsning,reading
rene,pure
investerat,invested
överlycklig,overjoyed
skinande,shiny
försäkringar,insurances
galactica,galactica
cassandra,cassandra
lektionerna,the lessons
logga,log
tillfredsställande,satisfactory
hagelgevär,shotgun
ace,ace
uttalas,pronounced
föredrog,preferred
delad,shared
barndomen,childhood
vigselring,wedding ring
designade,designed
waldorf,Waldorf
gorilla,gorilla
brännskador,burns
godta,accept
kranen,the faucet
samlad,overall
småbitar,small pieces
tillägg,addition
entusiastisk,enthusiastic
drinkarna,the drinks
skäll,bark
pops,pops
hackat,chopped
rakat,shaved
barnaby,children's village
lafayette,lafayette
digital,digital
ronon,ronon
katrine,Catherine
framtidens,of the future
psyket,the psyche
gråtande,weeping
följderna,the consequences
överföra,transfer
metro,metro
callie,callie
barnsligt,childish
nystart,fresh start
totala,total
larkin,the lark
ginny,Ginny
kokainet,the cocaine
syrra,sour
enlighet,compliance
oändlig,infinite
madeleine,Madeleine
häruppe,up here
sprickan,the crack
duell,duel
lecter,lectern
förts,carried
försäkrade,insured
skyttel,shuttle
poe,poe
klienten,the client
fällande,conviction
anställning,employment
gudomlig,divine
skottsäker,bulletproof
mobilsignal,mobile signal
frida,peace
medeltida,medieval
chinatown,chinatown
sändebud,envoy
liza,liza
arrangera,arrange
sabotage,sabotage
samlades,gathered
avloppet,the drain
babord,port
ömhet,tenderness
striderna,the battles
spilla,spill
friar,proposes
underskattade,underestimated
trivdes,enjoyed
strulade,messed up
foyle,foyle
konferensrummet,the conference room
merlyn,Merlin
hänsynslös,reckless
dårhuset,the madhouse
klistret,the glue
gröt,porridge
skörd,harvest
russel,russel
riv,rip
scylla,blame
franco,Franco
hektar,hectare
säkerhetsbältet,the seat belt
rengöra,clean
gaby,gaby
dilemma,dilemma
bekväma,comfortable
come,come
spader,spades
moe,moe
pluto,Pluto
knöl,tuber
löneförhöjning,salary increase
dolk,dagger
prisjägare,bounty hunter
luc,luc
flyt,float
yrket,the profession
olaga,unlawful
väpnat,armed
rekrytera,recruit
oavgjort,tie
sörjande,grieving
hagen,the garden
stolarna,the chairs
picasso,Picasso
brunch,brunch
tapper,brave
civiliserade,civilized
let,let
hederliga,honorable
dygd,virtue
bokföringen,the accounting
business,business
logiska,logical
döper,baptizes
infektionen,the infection
ömsesidigt,mutually
torterar,tortures
samme,same
iq,iq
överföring,transfer
digitala,digital
produktionen,the production
predika,preach
jägaren,the hunter
syret,the oxygen
inbilla,imagine
antydde,implied
våldtar,rapes
missförstod,misunderstood
sharp,sharp
menad,meant
skedd,happened
praktiken,the practice
målen,the goals
gladeligen,happily
wang,wang
applåder,applause
pacific,pacific
uppmanar,urges
rockstjärna,rock star
städerskan,the cleaning lady
bucky,bucky
klura,clever
tveksamt,questionable
gryta,stew
bägare,cup
övningen,the exercise
målare,painter
arvode,fee
begränsningar,limitations
tyskt,German
psykisk,psychological
uppskattat,appreciated
storasyster,older sister
knuten,attached
pinnar,sticks
hemmafru,housewife
förödmjuka,humiliate
almeida,Almeida
wilbur,wilbur
sonden,the probe
meddelat,notified
burkhardt,Burkhardt
handbojorna,the handcuffs
nâgra,some
brick,tile
sänkt,lowered
pinnen,the stick
sinom,since
förenar,unites
hetaste,hottest
bakhuvudet,the back of the head
handikappad,disabled
poppy,poppy
eyes,eyes
förklädnad,disguise
tigger,begging
förflyttas,be moved
uppfarten,the driveway
omloppsbana,orbit
mei,May
inspirerar,inspires
liga,league
reyes,reyes
gitarren,the guitar
münchen,Munich
onödiga,unnecessary
maskhål,wormhole
signor,sir
vader,calves
illegalt,illegally
åsnan,the donkey
brewster,brewster
helighet,sanctity
utgångar,outputs
pine,agony
field,field
bikini,bikini
sittande,sitting
plågade,tormented
befinna,be
edison,edison
listar,lists
grimes,grimaces
brunn,well
salazar,Salazar
tyg,fabric
strök,stroked
träffen,the meeting
grisarna,the pigs
övervakningskameror,surveillance cameras
affärsmän,businessmen
studenterna,the students
uppställning,line-up
begåvning,talent
avskyvärda,despicable
prestation,performance
förekommer,occurs
förberedelser,preparations
bostäder,housing
kidnappar,kidnaps
kvävas,choke
sota,soot
vlad,vlad
kastades,was thrown
registrerat,registered
hodges,Hodges
lyla,cry
serverade,served
maximal,maximum
maud,maud
blus,blouse
logg,log
studsar,bounces
demonstrera,demonstrate
logisk,logical
tj,i.e
utbildade,educated
tacos,tacos
spiller,plays
svik,betrayal
hala,slippery
porsche,Porsche
systemen,the systems
överlägsna,superior
dane,Dane
iland,ashore
ryder,clears
ally,ally
alle,avenue
gen,Gene
sysselsatt,employed
carlton,carlton
sovjetiska,Soviet
utlöser,triggers
lakanen,the sheets
intellekt,intellect
friend,friend
kulturen,the culture
morgana,tomorrow
rann,ran
niels,Niels
prometheus,prometheus
singlar,singles
leveranser,deliveries
bladet,the blade
chance,chance
overkligt,unreal
termin,semester
stav,rod
synes,seems
boet,the nest
borgmästarens,the mayor's
kabel-tv,cable TV
lunga,lung
långsamma,slow
bohannon,Bohannon
ledtråden,the clue
gästrummet,the guest room
huvudena,the heads
mild,mild
löd,soldered
nicke,nod
aktiveras,is activated
nalle,teddy bear
sabrina,sabrina
bokstäverna,the letters
kreativt,creatively
quantico,quantico
speed,speed
dödsdom,death sentence
påverkan,impact
goodman,goodman
efterfrågan,demand
ansträngning,effort
huven,the hood
mabel,mabel
brandt,burnt
vanilj,vanilla
metoden,the method
bekräftad,confirmed
dansgolvet,the dance floor
tilltala,address
apelsinjuice,orange juice
stöttat,supported
al-qaida,al-Qaeda
genomför,carry out
empati,empathy
förfalskning,counterfeiting
conway,conway
såväl,as well
sylvester,Sylvester
barnunge,baby boy
emmett,Emmett
dumpat,dumped
olösta,unresolved
topphemligt,top secret
räta,straighten
översättare,translator
juridisk,legal
fresta,tempt
faktumet,the fact
uppfattar,perceives
desarmera,defuse
ställningen,the position
direkten,directly
körsbär,Cherry
madrass,mattress
svinga,swing
nutid,present tense
konsekvens,consequence
otänkbart,unthinkable
vits,wit
manning,manning
rasmus,race mouse
tumören,the tumor
uppförde,erected
närsomhelst,at any time
tveksam,hesitant
ne,no
maxine,maxine
byggs,is being built
nypd,new
samtalsämne,topic of conversation
fredlig,peaceful
utplånade,obliterated
gentjänst,return service
tvâ,two
involverade,involved
flytten,the move
konfidentiellt,confidentially
pawnee,Pawnee
enstaka,Single
beskyddar,protects
avfyrade,fired
skallig,bald
separat,separate
minskat,decreased
gåtor,riddles
graviditet,pregnancy
styrelse,board
investeringar,investments
off,off
underjordiska,underground
tjänstgöring,duty
ådror,veins
inn,in
destiny,destiny
vulkan,volcano
grillad,grilled
leela,Leela
skywalker,skywalker
brast,burst
rubriker,headlines
avhandling,thesis
krympling,cripple
skepnad,shape
ahh,ahh
rue,rue
vagnarna,the wagons
rimmar,rhymes
kendall,Kendall
jørgen,Jorgen
pedofil,pedophile
moriarty,moriarty
göteborg,Gothenburg
jfk,cf
panelen,the panel
intervjuade,interviewed
superkrafter,super powers
tigrar,tigers
spelaren,the player
konflikten,the conflict
rea,sale
granen,the fir tree
flyttats,moved
veckas,weekly
fladdermöss,bats
profet,Prophet
framförallt,above all
bankrån,bank robbery
misstog,mistaken
trofé,trophy
kostnaderna,the costs
örhängen,earrings
triumf,triumph
olsen,olsen
krigar,warrior
paraply,umbrella
later,acting
bigfoot,bigfoot
hitman,hit man
sos,sos
sjukstugan,the infirmary
töntigt,silly
förvånansvärt,surprisingly
omgivningen,the surroundings
reaktioner,reactions
midjan,the waist
oförmögen,unable
förödelse,devastation
tallrikar,plates
laboratorium,laboratory
jaime,Jaime
övervakade,monitored
emery,emery
lisbeth,Lisbeth
bonden,the farmer
riktige,real
skottskada,gunshot wound
brevbäraren,the postman
now,now
världsmästare,world champion
knäet,the knee
seriösa,serious
rossi,rossi
intimt,intimately
ritualer,rituals
engagera,engage
rättighet,right
stränder,beaches
klubba,club
landskap,landscape
anmäl,report
bedrift,feat
skammen,the shame
omhändertagen,taken care of
kairo,cairo
analysen,the analysis
matchade,matched
pervo,perv
farkosten,the craft
analytiker,analyst
mugg,mug
vätskan,the liquid
ridge,ridge
allmänhetens,of the public
kar,vessel
stavar,spells
julio,July
rasen,the breed
medicinerna,the medications
opium,opium
gåtan,the riddle
morton,Morton
wolfe,wolf
bagageluckan,the trunk lid
skadats,damaged
smälte,melted
hundratusentals,hundreds of thousands
dumme,stupid
tillhört,belonged to
folkmassan,the crowd
separata,separate
marley,Marley
lancelot,Lancelot
rapporterat,reported
övervägt,considered
spaken,the lever
damernas,ladies'
backade,backed up
bästisar,best friends
kontinenten,the continent
kaj,quay
tidslinjen,the timeline
orkan,the hurricane
engelsmän,Englishmen
sömnig,sleepy
oduglig,inept
masters,masters
persons,person's
brock,hernia
blockerad,blocked
bås,cubicle
rädslor,fears
wilkes,wilke's
hanson,Hanson
tös,girl
charleston,charleston
massaker,massacre
ogillade,disliked
spelades,was played
klockorna,the clocks
labyrint,maze
end,end
obetydlig,insignificant
thor,thor
förödmjukad,humiliated
förbättring,improvement
självkänsla,self-esteem
omgivning,environment
crixus,crixus
illegal,illegal
själsfrände,soulmate
lasagne,lasagna
trans,trans
henrys,henry's
snacks,snacks
högtalaren,the speaker
fota,photograph
jäkeln,the devil
följe,entourage
kränkt,offended
nöt,nut
benson,benson
varjag,where I am
fack,compartment
part,party
krogen,the pub
gudomliga,divine
massakern,the massacre
röjer,clears
grodor,frogs
beundra,admire
hån,mockery
journalisten,the journalist
uppdaterad,updated
lonnie,Lonnie
rutt,route
lögnhals,liar
po,po
experten,the expert
grekerna,the greeks
klorna,the claws
utpressa,blackmail
frodo,frodo
regeringar,governments
elda,fire
avrättad,executed
informerat,informed
lât,let
doppa,dip
mustang,mustang
strävan,the aspiration
axe,axe
tree,tree
helga,sanctify
hatet,the hate
biljard,billiards
hetero,hetero
likväl,nevertheless
petar,pokes
rhodes,Rhodes
bosch,bosch
perfektion,perfection
kören,the choir
francesca,Francesca
bankar,banks
woman,woman
eliot,Eliot
bombade,bombed
caine,caine
forge,forge
hyfs,decent
herde,Shepherd
stryper,strangles
botade,cured
fäster,fasteners
trudy,trudy
prioritera,prioritize
knull,fuck
diskretion,discretion
ostört,undisturbed
givande,rewarding
kostnader,costs
rolf,Rolf
utspridda,scattered
ball,ball
hälsosamt,healthy
offrens,of the victims
traditionen,the tradition
skriftligt,in writing
noel,noel
gerard,Gerard
grodan,the frog
biologiskt,biologically
hanne,male
tallriken,the plate
fanatiker,fanatic
maia,Maia
alltmer,increasingly
tvång,constraint
mobilnummer,mobile number
rödhåriga,redheads
buenos,Buenos
aka,aka
färden,the journey
davey,Davey
records,records
förtrollade,enchanted
identifierar,identifies
mercy,thank you
avrättningen,the execution
saft,juice
arbetslösa,unemployed
spänna,buckle up
faders,father's
vinkeln,the angle
frigör,release
säd,grain
meriter,merits
inspärrad,confined
termen,the term
fullträff,full hit
underrättelsetjänst,Intelligence
stressen,the stress
rouge,rouge
sylt,jam
pink,pink
rowan,rowan
mindy,Mindy
tilltro,trust
lizzy,lizzy
överföringen,the transfer
liber8,liber8
förklaras,explained
förlat,forsaken
offras,sacrificed
landsbygden,the countryside
innersta,innermost
försäkringsbolaget,the insurance company
statlig,state
återuppta,resume
kramp,cramp
bajsa,poop
levereras,delivered
idol,idol
kaoset,the chaos
signe,sign
företagen,the companies
rekordet,the record
slarvig,careless
krydda,spice
begicks,was committed
tyngd,weight
journalen,the journal
patroner,cartridges
nationalgardet,the national guard
etablera,establish
massera,massage
vedergällning,retribution
åtrå,desire
channel,channel
oet,oet
psykfall,mental breakdown
vern,protection
uppfunnit,invented
ironi,irony
lyssnare,listener
kräket,the vomit
avvisade,rejected
sabotera,sabotage
kidnappades,was kidnapped
känts,felt
disneyland,disneyland
vanligen,usually
begraven,buried
fay,fay
hoover,hoover
pence,pence
glassen,the ice cream
gracias,gracias
gallagher,gallagher
avslag,rejection
födelsedagar,birthdays
väsnas,hiss
krigaren,the warrior
paddy,paddy
skenet,the shine
flyttades,was moved
britter,Britons
kurvan,the curve
längtade,longed for
ramona,Ramona
inleds,begins
snickare,carpenter
fotografen,the photographer
n.,n.
anbud,tender
delaney,delaney
mill,million
byggnaderna,the buildings
förblöder,bleeding
byggas,being built
hjälpas,help each other
koncept,concept
servitör,waiter
jamaica,jamaica
aktierna,the shares
earp,earp
herkules,hercules
praktiska,practical
ocean,ocean
breda,wide
donation,donation
sea,see
framgångsrikt,successfully
dräkter,costumes
underskattar,underestimates
frisör,hairdresser
ficklampan,the flashlight
kvällsmat,supper
korvar,sausages
jagas,hunted
expertis,expertise
marko,marco
